Header_review,review_text,rating
Brilliant,Nice  and best sound quality this is amazing product,5.0
Wonderful,Over-all total value for money except touch response,5.0
Utterly Disappointed,It's just okkish earbuds they are not too good but according to price perspective u can consider them but don't expect much output from them they are not that great but okkThankyou...,1.0
Useless product,Worst product don't go for it worst battery backup,1.0
Very poor,Left bud is nt working afer use of 4 day's,1.0
Super!,"Amazing price..,😍",5.0
Did not meet expectations,Right earbud didn't connect after 1 month wast of money.,1.0
Perfect product!,I really love this product,5.0
Terrible product,Very bed,1.0
Worthless,Very bad product. Very very poor performance on call. Nothing will hear at the other end. Pls don't buy.,1.0
Just okay,It's good. Bt I expected more,3.0
Good quality product,Very nice product but button quality is poor not working properly 😞,4.0
Classy product,Very good quality,5.0
Excellent,Good,5.0
Highly recommended,Nice buds,5.0
Good choice,Well balanced,4.0
Fabulous!,Good quality amazing sound,5.0
Excellent,Loved it,5.0
Awesome,Best in this price range,5.0
Wonderful,More than a worth....satisfied 👌in this price...Good one,5.0
Utterly Disappointed,It's a worest product i will buy this buds  4 months back. it's been    collapsed now charging complete is there .recharging is not working finally it's horrible product view recharging,1.0
Very poor,"Worst quality, should never go for it.",1.0
Useless product,I received the product on February 2nd. After one month right side bud was not working. Then within one week the both the buds are not working. It's a waste of money. Don't buy it .,1.0
Very poor,Not charging well,1.0
Terrible product,If I am buying any brand new thing then I should get it properly. It's used earphone there is no problem with the earphone and I am paying every penny. I just want to replace it and it's showing just a return window. I don't have problem with earphone but with management.,1.0
Fabulous!,Very good,5.0
Really Nice,Good,4.0
Great product,Good,5.0
Bad quality,Sound quality and bass are good but for calling and comfortable there is a need of improvement,2.0
Terrible product,If I am buying any brand new thing then I should get it properly. It's used earphone there is no problem with the earphone and I am paying every penny. I just want to replace it and it's showing just a return window. I don't have problem with earphone but with management.,1.0
Wonderful,super device💥💣 low budget best device😍😍😍😍😍😍😍,5.0
Fabulous!,Very good,5.0
Really Nice,Good,4.0
Great product,Good,5.0
Bad quality,Sound quality and bass are good but for calling and comfortable there is a need of improvement,2.0
Great product,Good product /bass quality just ok,5.0
Must buy!,Pros:            ease to carry           Grt battery            Grt fit in ear            Light weightCons:           Sound quality could be better,5.0
Slightly disappointed,No proper voice,2.0
Bad quality,Not recomand to all no bass,2.0
Delightful,Value for money 👍,4.0
Excellent,Value for money Kallu musukoni konachu,5.0
Don't waste your money,Used product,1.0
Great product,It's a excellent 👌👍,5.0
Just wow!,Nice Product 👌 Any One Can Buy 👌,5.0
Worth every penny,value for money,5.0
Good quality product,Awesome product go for ut ... ❤️,4.0
Worthless,The installation time is too.long ....  The sensor are does not working clearly ... Microphone  is soo  distrbance,1.0
Slightly disappointed,Battery backup not good,2.0
Wonderful,Overall very nice product at this price segment,5.0
Could be way better,Very poor,2.0
Unsatisfactory,"The sound is very low and not so good .I don't think it's worth the money paid , I tried getting replacement and they arranged a call and I tried waiting for their call but the closed the ticket without calling me .",1.0
Highly recommended,nice sound quality,5.0
Decent product,Sound quality Excellent..but frequently did not connected..Bass Quality excellent,3.0
Delightful,Don't have noise cancellation that's the biggest problem. Rest everything is good.,4.0
Super!,Nice product,5.0
Great product,Nice,5.0
Worth the money,Value for money product,4.0
Simply awesome,I m happy,5.0
Super!,Sound quality is very good specially bass,5.0
Super!,Really awesome product1. Build quality is really good.2. Awesome bass and sound quality i enjoyed it.3. Excellent battery i can see 2 complete films. After that charge will be reduced to 10 % and i will put the buds in case .. once i charged .. i again charge it after a couple of days.4.worth for rs 2000,5.0
Just wow!,Best budget buds,5.0
Best in the market!,Very good product Battery life is very good,5.0
Awesome,"Pros : small form factor, better battery life compared to earbuds in same price point. Good for using inside helmetCons;voice om call is bad, range could be improved",5.0
Absolute rubbish!,Hope less. Very tough to use,1.0
Utterly Disappointed,I want to return it.didn't satisfied with this,1.0
Terrific,Amazing,5.0
Good quality product,Very bad experience...Ear buds are also not being charged,4.0
Utterly Disappointed,The charging indicator is not working on the very first day itself.,1.0
Excellent,Worth the price. A very good budget earpods,5.0
Very poor,Condemn product....very poor sound and mic quality,1.0
Good choice,Best quality sound,4.0
Awesome,Super,5.0
Simply awesome,It's aswome guys the sound and bass is very good and it's value for its price 🔊🔊🔊👌👌😍😍😍😍,5.0
Don't waste your money,Very bad product I had product,1.0
Decent product,The product is good according to price but battery backup is not good,3.0
Highly recommended,Very good quality 😍😍 I love it,5.0
Brilliant,Very nice Product sound  and bass very nice,5.0
Great product,nice,5.0
Nice,"Connecting problems some time,,, sound quality is awesome...",3.0
Very Good,Good,4.0
Fabulous!,"Amazing sound quality with deep bass,very nice.",5.0
Best in the market!,Supar,5.0
Mind-blowing purchase,Nice product 👍,5.0
Mind-blowing purchase,nice,5.0
Really Nice,Superb quality,4.0
Brilliant,Good,5.0
Pretty good,"The product is good, It's very light. Sound quality is same to the wired real me buds 2, and that was good.The only drawback I found is the mic, never expect a good experience in calling, I need to talk loud for the other person to hear my voice.",4.0
Hated it!,Battery life is very very poor . Please exchange my product. In description is written that battery 🔋 backup is for 20hrs but after buying that battery life is reduced to 10 to 11 hrs,1.0
Value-for-money,Good for your ears but not for the ears of whom you are talking,4.0
Terrific,This product is extra ordinary,5.0
Not recommended at all,Worst product. Caller can't hear your voice properly,1.0
Classy product,Good,5.0
Awesome,Good product,5.0
Just okay,Battery back up not good but sound is perfect,3.0
Good,"Pros : design n quality is good Battery backup is around 5hrs on one go..Easliy got connected Properly fits in the ear ConsIt cannot handle trebles Bass is pretty normalSounds distortion happens quite oftenIf you have used some high end earphones like jbl, Skullcandy, Sony then i m sure you will not like this sound quality....",3.0
Mind-blowing purchase,Great product best for gaming 👌🏻😯,5.0
Good,"Pros : design n quality is good Battery backup is around 5hrs on one go..Easliy got connected Properly fits in the ear ConsIt cannot handle trebles Bass is pretty normalSounds distortion happens quite oftenIf you have used some high end earphones like jbl, Skullcandy, Sony then i m sure you will not like this sound quality....",3.0
Pretty good,Its really good connect well have good battery backup  can  connect single ear piece as well,4.0
Mind-blowing purchase,Great product best for gaming 👌🏻😯,5.0
Useless product,Don't buy sound quality is bad,1.0
Brilliant,how they said about that product its a absolutely correct and true said. 1st one single charge 4.5 hrs playtime its so good and second one with the case 20 hrs it is true said by flipkart i am happy with this product,5.0
Very Good,Very nice products,4.0
Really Nice,Nice Product,4.0
Does the job,Don't expect better sound with this,3.0
Wonderful,Sounds and bass mastttt,5.0
Excellent,Super,5.0
Really Nice,Realme buds Q very nice product amazing bass good quality,4.0
Not good,0% Noise Cancellation👎But Good For Music👍,2.0
Best in the market!,Osm product,5.0
Perfect product!,So nice,5.0
Best in the market!,Amazing product in this price segment,5.0
Wonderful,Great one from Realme. Needs some improvement with the highs and mids. Overall a nice earbud,4.0
Simply awesome,It's really awesome,5.0
Simply awesome,Very good sound and very good performance,5.0
Not good,very poor quality,2.0
Brilliant,Nice,5.0
Good,"This is my review after using it for about 20 days. 1) Sound Quality : 3/5 . Good for hearing music and watching zoom class or youtube. And not that good if you want that detailed audio clarity.2) Build and design : 3/5 . It fits perfectly in my ears. But it falls off easily while bending down or while doing workout3) Charging : 4/5 . It gets charged easily. And doesn't  need to charge often.4) Call review : Indoors call clarity is good. But outdoors, noises are high.and exactly after 10m...",3.0
Mind-blowing purchase,I got it for 1499. Very good product for that price range. realme link app is not supported for my samsung galaxy s7 mobile. But realme link app is working good in my samsung M20 mobile.,5.0
Terrible product,"Totally West money product because after few days Bluetooth buds created problem,",1.0
Slightly disappointed,My battery backup right now is 2hrs. Finally it stopped working.,2.0
Does the job,Sound quality is amazing but it start giving problem after one month it shows connected even after putting it in its case . & Battery goes down in only 1 hour,3.0
Good,"Not for calling, only for music.",3.0
Super!,Amazing base,5.0
Does the job,Sound is ok.,3.0
Excellent,1number product.   Love it 🥰,5.0
Fabulous!,Best 👍,5.0
Mind-blowing purchase,Battery is goodSound quality good,5.0
Great product,Awesome prity good,5.0
Worth the money,"The bass and sound quality is amazing if there is something that  iam not happy is the case it is to small , and not easy to handle and the touch controls are also of the buds are also hard to use",4.0
Brilliant,Nice,5.0
Fabulous!,Awesome product.....,5.0
Mind-blowing purchase,Superb sound quality yes the buid quality can be better but in this price range its killer,5.0
Must buy!,PRadeep,5.0
Fabulous!,Awesome product.....,5.0
Terrific purchase,Guys rich sound seriously n any 1 want to check real sound just do open your youtube on your web n play a song.Seriously u love it🥰🥰,5.0
Highly recommended,I really good product,5.0
Worth the money,Battery backup is great.... Sound quality is 4.5/5 .... Bass is great... I'm writing this review after 1 week of use..👍👍 it can be your smart choice....👍👍,4.0
Mind-blowing purchase,Superb sound quality yes the buid quality can be better but in this price range its killer,5.0
Good choice,Product is good,4.0
Really Nice,Everything is fine but battery backup is not good,4.0
Must buy!,PRadeep,5.0
Hated it!,"Gaming mode is not working at all, if you play online games then I dont recommend it",1.0
Terrific purchase,Now it's not getting off so changing back up as well,5.0
Nice product,Okok,4.0
Worst experience ever!,Product is not bad but the gaming mode has a lot of sound lag lot of connectivity issues,1.0
Value-for-money,Very good,4.0
Utterly Disappointed,The sound is too bad Money wasted,1.0
Great product,"No comparison to other earbuds, this is probably the best in every specs.....either it is battery, bass, or sound quality this is the best earbud",5.0
Mind-blowing purchase,Pros:-1- Realme branding with product quality assurance.2- fit to ear properly.3- Battery life is good.4- bass is excellent.Cons:-No active noise cancellation.No led shows battery indicator,5.0
Worthless,Sound problem is Occured .. calling sounds is Decreased.. not to recommend my family n friends.,1.0
Wonderful,God,4.0
Just wow!,Nice product.Thank you realme,5.0
Utterly Disappointed,The sound is too bad Money wasted,1.0
Great product,"No comparison to other earbuds, this is probably the best in every specs.....either it is battery, bass, or sound quality this is the best earbud",5.0
Mind-blowing purchase,Pros:-1- Realme branding with product quality assurance.2- fit to ear properly.3- Battery life is good.4- bass is excellent.Cons:-No active noise cancellation.No led shows battery indicator,5.0
Worthless,Sound problem is Occured .. calling sounds is Decreased.. not to recommend my family n friends.,1.0
Wonderful,God,4.0
Really Nice,Nice design voice is perfect,4.0
Brilliant,Very nice,5.0
Just wow!,Nice product.Thank you realme,5.0
Super!,one of the best 👌,5.0
Really Nice,Nice,4.0
Don't waste your money,My buds now not pair to each other and left side buds is not morning and right side buds only beep and not connected,1.0
Value-for-money,Not proper adjust on the ear,4.0
Awesome,Best,5.0
Bad quality,Ok,2.0
Very Good,Nice products,4.0
Value-for-money,Design,4.0
Not recommended at all,Totally horrible while talking on phone call..,1.0
Good choice,"Every features are good in this device, but sometimes the device shows delay in pairing with other devices.",4.0
Just okay,Connectivity is very bad. This earbuds good for listening songs . Battery backup is approximately 3-3.5 hours.build and design is very good but call quality is very bad. If you buy this buds for calling don't buy this buds . Calling quality and connectivity is very bad.,3.0
Awesome,Bought it only rs1499. Sound quality is excellent. Bass is awesome.,5.0
Perfect product!,Nyc product 👍🏻👍🏻👍🏻,5.0
Very Good,Bass are goodSound quality awesomeSome time right side buds slightly heated on the gaming mode Game sound little bit delay (free fire)Watching movie 4.6 hours on right earbudWatching movie 5 hours on left earbudTouches are good response but the trick is first touch is slightly hold then another touch is quickly is good response some persons are touch are not responsible so this trick is usedPerfect in ear sometimes I jump it's not drop perfect fittingNegativitiesCharging case only ...,4.0
Hated it!,Average,1.0
Super!,Go for it.Dont dought,5.0
Highly recommended,Super budsBut right side mic is slightly problem,5.0
Good quality product,it's a value for money prodact.,4.0
Could be way better,Voice clarity and sound cancellation is worst,2.0
Good quality product,"Quick connect.. bass is good, I got it in 1500 rs .. best ear pod in this price",4.0
Terrible product,Damage item,1.0
Slightly disappointed,Calling experience wrost,2.0
Absolute rubbish!,this is not for gaming at all,1.0
Highly recommended,Good performance,5.0
Super!,Super product,5.0
Must buy!,This product is awesome,5.0
Perfect product!,I needed something that I can wear while working out and take calls. These earbuds have a good call quality and decent battery life,5.0
Mind-blowing purchase,Best sound quality in this range,5.0
Simply awesome,Nice,5.0
Wonderful,Most beautiful,5.0
Perfect product!,👌 Excellent Product . Purchase Compulsory 🙏,5.0
Fair,Noise cancellation is a big issue.... during call the person on the other side will not able to hear anything if you are in crowded place or outdoor.,3.0
Does the job,No remaining battery indicator,3.0
Just wow!,I'm really impressed by the product. In such a comfortable price they delivered the perfect product. Sound is pretty good and also you can make the call very comfortably. I had Sony Earbuds earlier which costed me Rs 14K. But I would say this realme Buds is way more better then the Sony one despite being cheap in price.,5.0
Absolute rubbish!,Not connect Bluetooth,1.0
Wonderful,Not bad simple sound good,4.0
Really Nice,Nice,4.0
Decent product,Quality good,3.0
Absolute rubbish!,Not connect Bluetooth,1.0
Wonderful,Not bad simple sound good,4.0
Waste of money!,One thing is very bad that is mic ...it is available in top of the air bird is should be towards down side for better audio,1.0
Terrific purchase,Awesome bass..clear sound and battery backup is ver good..loved this❤️,5.0
Really Nice,Nice,4.0
Nice product,Battery capacity is average,4.0
Decent product,Quality good,3.0
Wonderful,Good,5.0
Worth the money,"*Sound quality is good*Clarity is good for this price *Battery back is good*Build quality of case is average*Magnet of case is not strong enough to hold the ear piece , which cause rattling sound on shakes.*Both ear pieces are free from blinking lights .*Light weight ear pieces feel comfortable and compact on ears.",4.0
Terrific,nice earphones..fully recommended from my side..sound quality is nice,5.0
Good quality product,It's a very good product for this price range.,4.0
Great product,Battery drains away faster,5.0
Nice product,Good quality,4.0
Good quality product,Good,4.0
Decent product,i am not a satisfies becaus realme buds not a good fitting and connecting issue,3.0
Excellent,Best experience but touch porblem,5.0
Wonderful,Good battery backup. Easy connectivity. Bass is poor and not upto the expectation. Mic is great and brings up all voice details while making call at receivers end. Cute design. If you are a bass lover please dont go for it. Battery lasts approximately 20 hours. Overall good product.,4.0
Utterly Disappointed,Money waste... Don't buy,1.0
Pretty good,Average,4.0
Value-for-money,Good product,4.0
Just okay,Battery backup not as claimed,3.0
Worst experience ever!,Waste of money,1.0
Moderate,Very bad product i had got pain in my ear after listening song for half hour,2.0
Decent product,It had lagging sound in playing pubg. And it is sometimes it breaking sounds,3.0
Utterly Disappointed,Touch not working properly,1.0
Great product,Very nice,5.0
Value-for-money,It's a good product with right price.,4.0
Worst experience ever!,Waste of money,1.0
Moderate,Very bad product i had got pain in my ear after listening song for half hour,2.0
Decent product,It had lagging sound in playing pubg. And it is sometimes it breaking sounds,3.0
Utterly Disappointed,Touch not working properly,1.0
Great product,Very nice,5.0
Terrific,Worth it....Buy it❤️,5.0
Value-for-money,It's a good product with right price.,4.0
Nice,Ok product,3.0
Worth every penny,Very nice,5.0
Brilliant,very good product,5.0
Worst experience ever!,Not satisfied,1.0
Nice product,Great pair of TWS at this price point.,4.0
Best in the market!,good earbud,5.0
Good,𝑆𝑢𝑝𝑝𝑒𝑟𝑏 𝑛𝑖𝑐𝑒 𝑝𝑟𝑜𝑑𝑢𝑐𝑡 𝑓𝑎𝑠𝑡 𝑑𝑒𝑙𝑖𝑣𝑒𝑟𝑦 𝑡𝒉𝑎𝑛𝑘 𝑦𝑜𝑢 𝑓𝑙𝑖𝑝𝑐𝑎𝑟𝑡,3.0
Pretty good,Amazing,4.0
Terrific,nice,5.0
Brilliant,Love it must buy.... Too good ....,5.0
Highly recommended,Nice product .. easy to use,5.0
Worth the money,Good product in 1299,4.0
Just wow!,I bought it 1 week ago these are supercool the bass is also so impressive and you will be never disappointed by the battery backup just 1 issue that the sound of game in gaming mode is little bit delaying my phone is also running on bluetooth 5.0 I have galaxy note 8 but gaming mode is little bit not nice but still the latency without gaming mode is so good specially recommended for gamers and bass lovers battery is the best thing and sound quality is also excelent seam less connectivity no c...,5.0
Mind-blowing purchase,Best quality,5.0
Just wow!,Looks good.Very nice sound quality.Worth for money,5.0
Slightly disappointed,Sound is low in one ear buds,2.0
Classy product,Good,5.0
Wonderful,Best ear buds but bad design  not comfortable,5.0
Good choice,Sound quality is little low,4.0
Terrific purchase,"Best for calls, light weighted. Must buy",5.0
Good quality product,not bad product  bass quality  is a very  good   but battery   performance   Not stale  but good,4.0
Mind-blowing purchase,Best quality,5.0
Wonderful,"Nice product , sound is amazing....Design is decnt, battery back up nice...",5.0
Worth every penny,"Flipkart delivered very fast. Sounds quality is good, but design is not that much good. Every thing is good",5.0
Not recommended at all,Style and design is good but quality is not good after 1 month right ear buds are not working.I suggest don't by it.Backup is very poor . Only 1 hrs working,1.0
Very poor,My personally suggestions Don't buy realms Buds Q.Totally money waste.Sound quality is very poor.,1.0
Terrible product,"Please don't buy this product, it has stopped connect ing to blue tooth. It is useless for me. Wastage of 2000 rs",1.0
Super!,Just 1499,5.0
Horrible,mic. do not proper work. and do not noise cancelations work. i am not happy this product.,1.0
Simply awesome,Amazing Product as per compare Redme Earbuds S and Noise Shots Beat.,5.0
Brilliant,Gud,5.0
Terrible product,"Please don't buy this product, it has stopped connect ing to blue tooth. It is useless for me. Wastage of 2000 rs",1.0
Super!,Just 1499,5.0
Nice,Touch control is not perfect bat bass is good sund quality 👌,3.0
Horrible,mic. do not proper work. and do not noise cancelations work. i am not happy this product.,1.0
Simply awesome,Amazing Product as per compare Redme Earbuds S and Noise Shots Beat.,5.0
Brilliant,Just awsmmmmmmm........... Super ever seen,5.0
Value-for-money,Its good for this price range 😊,4.0
Brilliant,Gud,5.0
Highly recommended,Sound quality good,5.0
Brilliant,Nice,5.0
Very Good,"It's amazing.. I'm so happy ... it's battery backup is awesome...I get this on 28 February...and after getting this, charged for 2 times... it's more  & more better for me...",4.0
Fabulous!,It is very good,5.0
Terrific purchase,Sound best realme best bass is good,5.0
Perfect product!,Nice quality,5.0
Perfect product!,Product is good,5.0
Great product,Awesome product. I really loved it.,5.0
Good choice,Good,4.0
Excellent,Good product,5.0
Wonderful,Very nice buds.Must buy.Good quality and  good battery backup.I think it's a good choice. I like it.It is worth for money.,5.0
Must buy!,Very good product ❤️❤️❤️❤️,5.0
Highly recommended,Best product in price comparison,5.0
Could be way better,Charging problam,2.0
Very poor,Very worst product don't buy it it becomes damage @fter 1 week,1.0
Waste of money!,very very bade quality,1.0
Wonderful,Awesome 👍👍👍👍👍👍,5.0
Best in the market!,Sound Quality Next Level Build and design super Weight less buds Batter backup excellent All are good form this ear buds,5.0
Awesome,"1st of all a very solid product for under 2k. Writing this review after a month of usage. No problem at all from the buds, connects to my phone as soon as they are pulled out from the case, have a good battery backup of about 4 hrs. The sound quality is bass oriented, so the vocals are not that crisp, as some other earphones. Bass is absolutely badass, and it also has passive noise cancelation, along with a really snug fit. 1 thing i noticed was that it sometimes gets disconnected to my phone...",5.0
Really Nice,In this cost it's a suggestible product to buy,4.0
Just okay,Buds is goods but not excellent,3.0
Worth every penny,Nice product,5.0
Very poor,Very worst product don't buy it it becomes damage @fter 1 week,1.0
Waste of money!,very very bade quality,1.0
Wonderful,Awesome 👍👍👍👍👍👍,5.0
Best in the market!,Sound Quality Next Level Build and design super Weight less buds Batter backup excellent All are good form this ear buds,5.0
Awesome,"1st of all a very solid product for under 2k. Writing this review after a month of usage. No problem at all from the buds, connects to my phone as soon as they are pulled out from the case, have a good battery backup of about 4 hrs. The sound quality is bass oriented, so the vocals are not that crisp, as some other earphones. Bass is absolutely badass, and it also has passive noise cancelation, along with a really snug fit. 1 thing i noticed was that it sometimes gets disconnected to my phone...",5.0
Really Nice,In this cost it's a suggestible product to buy,4.0
Just okay,Buds is goods but not excellent,3.0
Worth every penny,Nice product,5.0
Horrible,"One of the worst buds ever I used , the product is damaged and Flipkart is not even responding for this shame",1.0
Not recommended at all,Waste of money,1.0
Wonderful,"Sound quality best hai.. Earbuds bass is suprb,but calling time kabhi kabhi disconnect ho jata hai.",4.0
Highly recommended,Sound quality is awesome...latency is low,5.0
Highly recommended,Very good product,5.0
Good,Mic not working properly and noise cancellation is so poor,3.0
Nice,Works well for music. Touch doesn't work sometimes. You need to reconnect. Range is ok. Some disturbance during calls.,3.0
Decent product,It keeps falling out from ear. I tried all the ear pieces and it's still the same. Keeps falling down. You can't take it for jogging or exercise. Otherwise good product,3.0
Highly recommended,Very good product,5.0
Great product,Awesome.!,5.0
Wonderful,Awesome.. Highly recommended.,4.0
Excellent,Very good,5.0
Nice product,Over all product is nice but touch is laggy,4.0
Good,Mic not working properly and noise cancellation is so poor,3.0
Nice,Works well for music. Touch doesn't work sometimes. You need to reconnect. Range is ok. Some disturbance during calls.,3.0
Brilliant,Best,5.0
fair deal,"good in this budgetonly cons i faced - bad noise cancellation, not good connectivity in outer/crowded spaces",3.0
Best in the market!,Always Good Products Lunch Realme All Time',5.0
Useless product,Not upto the mark no clear clarity and after turning on the left bud and the right bud is turning on touch was also not good,1.0
Worth every penny,Good not a bed,5.0
Worth every penny,Excellent product,5.0
Not good,"Worst item, please don't buy",2.0
Super!,Good sound quality,5.0
Decent product,Not audible outdoor,3.0
Decent product,Best Product @1499 this Price,3.0
Excellent,nice buds burlt when u calling other other person facing voice problem .Not use in crowd area,5.0
Could be way better,After 5days my left bud is not working and Bluetooth device is not showing in search list..😓,2.0
Worth every penny,Good not a bed,5.0
Worth every penny,Excellent product,5.0
Not good,"Worst item, please don't buy",2.0
Super!,Good sound quality,5.0
Decent product,Not audible outdoor,3.0
Decent product,Best Product @1499 this Price,3.0
Excellent,nice buds burlt when u calling other other person facing voice problem .Not use in crowd area,5.0
Could be way better,After 5days my left bud is not working and Bluetooth device is not showing in search list..😓,2.0
Bad quality,Don't waste ur moner,2.0
Decent product,No touch call receive,3.0
Utterly Disappointed,Vest product,1.0
Terrific purchase,Good performance,5.0
Perfect product!,Very very nice products but voice income call low sounds,5.0
Pretty good,Best bluetooth buds. .Best performance after long time.But price to High.Not in budget earphone,4.0
Great product,good,5.0
Super!,Nice product worth for single rupee. I just love REALME ❤️,5.0
Unsatisfactory,Battery works only 2 hrs,1.0
Perfect product!,Good quality product,5.0
Pretty good,Everything is good except mic quality,4.0
Delightful,It can't connect to my phone after 4 months I don't know why,4.0
Great product,Good product,5.0
Simply awesome,Nice,5.0
Worth every penny,Good,5.0
Best in the market!,Amazing,5.0
Simply awesome,Thank u flipkart,5.0
Good,Ok,3.0
Must buy!,Value for money,5.0
Decent product,This is an average product and connectivity problem is there.,3.0
Terrific,Battery life is really great  and sound quality is amazing 😍,5.0
Mind-blowing purchase,Amazing,5.0
Worth every penny,Good,5.0
Best in the market!,Amazing,5.0
Simply awesome,Thank u flipkart,5.0
Good,Ok,3.0
Must buy!,Value for money,5.0
Decent product,This is an average product and connectivity problem is there.,3.0
Terrific,Battery life is really great  and sound quality is amazing 😍,5.0
Worth the money,Amazing,4.0
Just okay,Although it's good but sometimes the connection gets lost in between meetings or songs,3.0
Awesome,Best in 1499/ . Loved the bass,5.0
Best in the market!,Good but bass is mediumSo bass lovers not sale it,5.0
Delightful,Nice buds with good bass,4.0
Just okay,Overall good product at its price point,3.0
Fabulous!,Awesome product,5.0
Horrible,Very worst product..don't buy this..,1.0
Horrible,Voice is low,1.0
Terrible product,Low sound quality,1.0
Absolute rubbish!,WROST FOR GAMING MIC IS NOT WORKING PROPERTY,1.0
Good,When you talk calls at outside it will iritate you. Inside it will be not bad,3.0
Wonderful,The Realme buds are so unique and the quality is just great. Must buy.,5.0
Very Good,Just nice,4.0
Does the job,"Everything is okay, the bass is perfect, backup is perfectBut when you'll use one bud at a time u'll notice one bid has less bass but more treble and the other has vice versa",3.0
Brilliant,Wow...,5.0
Nice,Bike riding  time sound nt hearing properly,3.0
looking,nice product,5.0
Fabulous!,Very nice buds,5.0
Slightly disappointed,I am fasing some connectivity problems 😓😓,2.0
Fabulous!,Awesome quality and product. I love it,5.0
Simply awesome,No more comments of realme buds Q   I LOVE IT and thanks for quick delivary 🤟🤟👍😘😘,5.0
Terrific purchase,Nice product at this price...,5.0
Horrible,Worst product,1.0
Could be way better,He is not suitable for ear and not par fact set in ear.Auto drop to ear so I am not happy to this ears buds,2.0
Good quality product,5 star for hearing music or watching video3 stra for calling of talkingIt is best for listening music but when it comes to calling it's below average 😔Overall for playing games or listening music it is best 👌😌,4.0
Very Good,Overall best quality but the noise cancellation not available.,4.0
Classy product,Nice,5.0
Simply awesome,Super awesome,5.0
Wonderful,"I hane used it since 4 month and it's very good at sound , built in quality and also  connectivity in good.",5.0
Perfect product!,Mast product,5.0
Good quality product,Nyc product,4.0
Don't waste your money,Item not satisfied.,1.0
Worth every penny,Simply super ..... Good base nd Good sound,5.0
Good choice,Build is very Good.Overall ear Buds is good ☺️...after using 4 monthsSomething it will disconnect for a 2 sec. But it was facing very rare time,4.0
Terrific purchase,Nice,5.0
Terrific purchase,Nice one,5.0
Utterly Disappointed,Veste of money Voice Not Clearly very poor,1.0
Fabulous!,Good Job Realme,5.0
Terrific purchase,Nice product,5.0
Pretty good,Gud h,4.0
Waste of money!,only using 15days now one side didn't working another side mic didn't working my money totally waste,1.0
Awesome,Better then all companies 👍,5.0
Nice product,Good,4.0
Worthless,I received this product & had a lot of expectations but they aren't comfortable to my ears & keeps coming out. I guess the extra earbuds were also less then mentioned. I contacted the Flipkart immediately on the same day as this product comes under 7 days return policy however they asked me to get in touch with Realme & provided a customer service number. I raised the return request on 3 occasions & Flipkart rejected the return request stating that 'issue resolved with trouble shooting' ...wh...,1.0
Just okay,Sound quality is good but some times it's disconnecting.,3.0
Must buy!,Nice product,5.0
Nice product,"Battery backup - Amazingdesign               - nicesound quality   - awesome, will cross ur expectationsand the problem i faced after using of one week that is connectivity whenever i ride on bike its automatically disconnect and then connect and its happen after a minute, other wise connectivity is good in normal walking or workingand the 2nd thing is low latency mode is not so good cause u know in pub g we have to listen immediately and its delaying to nanosecond",4.0
Best in the market!,I love,5.0
Great product,Nice,5.0
Best in the market!,"Great sounds , amazing Bass work just fine with realme phone and Best part is the case",5.0
Good quality product,Nice product,4.0
Classy product,1)Battery 🔋-continue 4.30 hour &Aac battery backup 4times rechargeable 2)Bass- amezing3) sound quality- Just like Samsung lead Overall is good.,5.0
Not recommended at all,There is light indicator but it's not blink.Rest is average,1.0
Brilliant,Awsm base great 😊 nd sound quality is good.,5.0
Mind-blowing purchase,Best,5.0
Value-for-money,Good,4.0
Highly recommended,Good sound best quality 👌,5.0
Value-for-money,Excellent one.go through it,4.0
Highly recommended,Wow nice product,5.0
Classy product,Best one from realme,5.0
Terrific,"Cool design. I love the color. Sometimes suddenly one of the ear buds get off by itself on long call. But manageable.battery on ear buds ,I don't think it works for 10 hrs. It works around 2hrs after that there is glitches",5.0
Bad quality,Not good this price batter boat 381 buds,2.0
Hated it!,It was good but within 15 days the right ear piece stopped working. Don't know what to do now. Will be trying to contact the support team.,1.0
Just wow!,One disadvantages background noise issue,5.0
Decent product,Not good not bad,3.0
Worth the money,Average product,4.0
Pretty good,Good earbuds for running and exercise. But sometimes automatically disconnect and connect. Best for suffer.,4.0
Very Good,Best earphones at this price but case has most light weight,4.0
Highly recommended,Everything just amazing i love realme product thank u Flipkart for the genuine products I'll review after one month again ❤️❤️❤️,5.0
Pretty good,Great product Durable because working after  dropping many time.Sound quality is also good at this price range 👌👌👌👌👌,4.0
Excellent,Nice 👍,5.0
Nice product,Value for money,4.0
Decent product,Not good not bad,3.0
Worth the money,Average product,4.0
Pretty good,Good earbuds for running and exercise. But sometimes automatically disconnect and connect. Best for suffer.,4.0
Very Good,Best earphones at this price but case has most light weight,4.0
Highly recommended,Everything just amazing i love realme product thank u Flipkart for the genuine products I'll review after one month again ❤️❤️❤️,5.0
Pretty good,Great product Durable because working after  dropping many time.Sound quality is also good at this price range 👌👌👌👌👌,4.0
Excellent,Nice 👍,5.0
Nice product,Value for money,4.0
Wonderful,Bass is awesome.. but voice is little sharp.. otherwise its awesome experience,4.0
Worthless,"It looses Bluetooth connectivity itself. I took replacement but again same problem. In calling voice cancelation does not work and you will never be able to speak easily, it doesn't catch your voice properly.",1.0
Absolute rubbish!,Item was old and defected,1.0
Pretty good,Worth,4.0
